LV,M,Speed,Visual,Audio,Survey_Score ,Label
1,1,0,1,1,0,3
0.85,1,0,1,1,0,2
0.85,1,0,1,1,0,2
0.85,1,0,1,1,0,2
0.85,1,0,1,1,0,2
0.71,1,0,1,1,0,2
0.85,1,0,0.75,1,0,2
0.85,1,0,0.75,1,0,2
1,1,0,1,0.5,0,2
1,0.5,0,1,1,0,2
1,1,0,1,0.5,0,2
1,1,0,1,0.5,0,2
0.71,1,0,0.75,1,0,2
0.71,1,0,0.75,1,0,2
0.71,1,0,0.75,1,0,2
0.71,1,0,0.75,1,0,2
0.71,1,0,0.75,1,0,2
0.71,1,0,0.75,1,0,2
0.71,1,0,0.75,1,0,2
0.85,0.5,0,1,1,0,2
0.85,1,0,1,0.5,0,2
0.85,0.5,0,1,1,0,2
0.85,1,0,1,0.5,0,2
0.85,1,0,1,0.5,0,2
0.85,0.5,0,1,1,0,2
0.85,1,0,1,0.5,0,2
0.57,1,0,0.75,1,0,2
0.71,1,0,0.5,1,0,2
0.71,1,0,0.5,1,0,2
0.71,1,0,0.5,1,0,2
0.71,0.5,0,1,1,0,2
0.71,0.5,0,1,1,0,2
0.71,1,0,0.5,1,0,2
0.71,1,0,0.5,1,0,2
0.71,1,0,0.5,1,0,2
0.71,1,0,0.5,1,0,2
0.85,0.5,0,0.75,1,0,2
0.85,1,0,0.75,0.5,0,2
0.85,0.5,0,0.75,1,0,2
0.85,1,0,0.75,0.5,0,2
0.85,1,0,0.75,0.5,0,2
0.85,0.5,0,0.75,1,0,2
0.85,1,0,0.75,0.5,0,2
0.85,1,0,0.75,0.5,0,2
0.57,1,0,0.5,1,0,2
0.57,1,0,0.5,1,0,2
0.57,1,0,0.5,1,0,2
0.57,1,0,0.5,1,0,2
0.57,1,0,0.5,1,0,2
0.57,1,0,0.5,1,0,2
1,0.5,0,1,0.5,0,2
1,1,0,1,0,0,2
1,0.5,0,1,0.5,0,2
0.71,0.5,0,0.75,1,0,2
0.71,0.5,0,0.75,1,0,2
0.71,0.5,0,0.75,1,0,2
0.71,1,0,0.75,0.5,0,2
0.71,0.5,0,0.75,1,0,2
0.71,1,0,0.75,0.5,0,2
0.71,1,0,0.75,0.5,0,2
0.71,0.5,0,0.75,1,0,2
0.71,1,0,0.75,0.5,0,2
0.85,1,0,0.5,0.5,0,2
0.85,0.5,0,1,0.5,0,2
0.85,0,0,1,1,0,2
0.85,0.5,0,1,0.5,0,2
0.85,1,0,0.5,0.5,0,2
0.85,0.5,0,0.5,1,0,2
0.85,1,0,0.5,0.5,0,2
0.57,0.5,0,0.75,1,0,2
0.57,0.5,0,0.75,1,0,2
0.57,1,0,0.25,1,0,2
0.57,1,0,0.25,1,0,2
0.57,1,0,0.25,1,0,2
0.71,0.5,0,0.5,1,0,2
0.71,1,0,0.5,0.5,0,2
0.71,0.5,0,0.5,1,0,2
