LV,M,Speed,Visual,Audio,Survey_Score 
1,1,1,1,1,1
1,1,1,1,1,0.95
1,1,1,1,1,0.9
1,1,1,1,1,0.85
0.85,1,1,1,1,1
0.85,1,1,1,1,1
0.85,1,1,1,1,1
0.85,1,1,1,1,1
1,1,1,1,1,0.8
0.85,1,1,1,1,0.95
0.85,1,1,1,1,0.95
0.85,1,1,1,1,0.95
0.85,1,1,1,1,0.95
1,1,1,1,1,0.75
0.85,1,1,1,1,0.9
0.85,1,1,1,1,0.9
0.85,1,1,1,1,0.9
0.85,1,1,1,1,0.9
0.71,1,1,1,1,1
1,1,1,1,1,0.7
0.85,1,1,1,1,0.85
0.85,1,1,1,1,0.85
0.85,1,1,1,1,0.85
0.85,1,1,1,1,0.85
0.71,1,1,1,1,0.95
1,1,1,1,1,0.65
0.85,1,1,1,1,0.8
0.85,1,1,1,1,0.8
0.85,1,1,1,1,0.8
0.85,1,1,1,1,0.8
0.71,1,1,1,1,0.9
1,1,1,1,1,0.6
0.85,1,1,0.75,1,1
0.85,1,1,0.75,1,1
0.85,1,1,1,1,0.75
0.85,1,1,1,1,0.75
0.85,1,1,1,1,0.75
0.85,1,1,1,1,0.75
0.71,1,1,1,1,0.85
1,1,1,1,1,0.55
0.85,1,1,0.75,1,0.95
0.85,1,1,0.75,1,0.95
0.85,1,1,1,1,0.7
0.85,1,1,1,1,0.7
0.85,1,1,1,1,0.7
0.85,1,1,1,1,0.7
0.71,1,1,1,1,0.8
1,1,1,1,1,0.5
0.85,1,1,0.75,1,0.9
0.85,1,1,0.75,1,0.9
0.85,1,1,1,1,0.65
0.85,1,1,1,1,0.65
0.85,1,1,1,1,0.65
1,1,1,1,0.5,1
0.85,1,1,1,1,0.65
1,0.5,1,1,1,1
1,1,1,1,0.5,1
1,1,1,1,0.5,1
0.71,1,1,0.75,1,1
0.71,1,1,0.75,1,1
0.71,1,1,0.75,1,1
0.71,1,1,0.75,1,1
0.71,1,1,0.75,1,1
0.71,1,1,0.75,1,1
0.71,1,1,1,1,0.75
0.71,1,1,0.75,1,1
1,1,1,1,1,0.45
1,1,1,1,0.5,0.95
1,0.5,1,1,1,0.95
1,1,1,1,0.5,0.95
1,1,1,1,0.5,0.95
0.85,1,1,0.75,1,0.85
0.85,1,1,0.75,1,0.85
0.85,1,1,1,1,0.6
0.85,1,1,1,1,0.6
0.85,1,1,1,1,0.6
0.85,1,1,1,1,0.6
0.71,1,1,0.75,1,0.95
0.71,1,1,0.75,1,0.95
0.71,1,1,0.75,1,0.95
0.71,1,1,0.75,1,0.95
0.71,1,1,0.75,1,0.95
0.71,1,1,0.75,1,0.95
0.71,1,1,1,1,0.7
0.71,1,1,0.75,1,0.95
1,1,1,1,1,0.4
1,1,1,1,0.5,0.9
1,0.5,1,1,1,0.9
1,1,1,1,0.5,0.9
1,1,1,1,0.5,0.9
0.85,1,1,0.75,1,0.8
0.85,1,1,0.75,1,0.8
0.85,1,1,1,1,0.55
0.85,1,1,1,1,0.55
0.85,1,1,1,1,0.55
